"year_end","team_id","fran_id","tot_sal","avg_sal","max_sal","min_sal","std_sal"
2003,"DEN","Nuggets",49109209,2584695.21052632,20625000,138171,4648424.90447586
2003,"DET","Pistons",47777888,2986118,8421875,512435,2076941.81452731
2003,"GSW","Warriors",47737715,2983607.1875,10067750,18748,3044471.77441818
2003,"IND","Pacers",53472323,3819451.64285714,12046473,512435,3415580.68641214
2003,"LAC","Clippers",42955777,2386432.05555556,6061213,512435,1484321.23089906
2003,"LAL","Lakers",63151182,4510798.71428571,23571429,124984,6334920.04639363
2003,"MEM","Grizzlies",61009172,3588774.82352941,12999998,349458,3233696.77374171
2003,"MIA","Heat",57378326,3825221.73333333,20629800,349458,5883935.15305052
2003,"MIL","Bucks",57995152,4142510.85714286,12375000,349458,3876429.0425978
2003,"MIN","Timberwolves",59518801,3967920.06666667,25200000,321926,6401708.8987872
2003,"NOP","Pelicans",44458882,3175634.42857143,8050000,750000,2581522.85765726
2003,"NYK","Knicks",93452379,5497198.76470588,14343750,587435,4446595.16581539
2003,"OKC","Thunder",53167479,4089806.07692308,12636117,349458,3759986.40400936
2003,"ORL","Magic",50435346,3152209.125,12072500,349458,3652961.34632096
2003,"PHO","Suns",55225080,3944648.57142857,12375000,512435,4579562.86712432
2003,"POR","Trailblazers",105595657,6211509.23529412,19727524,512435,5918018.81959022
2003,"SAC","Kings",70416596,4694439.73333333,14343750,637435,4041910.85929466
2003,"SAS","Spurs",53182559,3545503.93333333,12072500,34946,4054023.96709336
2003,"TOR","Raptors",55408207,2916221.42105263,1.2e+07,35819,3472468.97925687
2003,"UTA","Jazz",50934629,3183414.3125,19250000,546000,4911765.66305008
2003,"WAS","Wizards",46691190,2457431.05263158,6375000,124984,1936331.64213797
2004,"ATL","Hawks",64497340,4606952.85714286,13500000,366931,4632201.79141345
2004,"BKN","Nets",63697123,3352480.15789474,13626624,104390,4185123.17067562
2004,"BOS","Celtics",60185915,4012394.33333333,13500000,366931,4159857.76537665
2004,"CHI","Bulls",55489797,3468112.3125,12925000,366931,3100541.45401904
2004,"CLE","Cavaliers",46186472,2886654.5,13500000,36643,3270109.69311479
2004,"DEN","Nuggets",39398646,2462415.375,8e+06,366931,2204722.72292588
2004,"DET","Pistons",53442834,3562855.6,6500000,638679,1965966.32995016
2004,"GSW","Warriors",53376708,2965372.66666667,11956625,72843,3088043.69581048
2004,"HOU","Rockets",55401430,3258907.64705882,10960000,53697,3157843.74262969
2004,"IND","Pacers",58156236,3877082.4,13152000,366931,3552767.38056629
2004,"LAL","Lakers",64123085,4274872.33333333,24749999,366931,6582759.60035418
2004,"MEM","Grizzlies",58176928,3636058,7e+06,366931,2370053.08697947
